"","StationaryDistribution","Membership","QuantileSR.10","QuantileSR.25","QuantileSR.35","QuantileSR.45","QuantileSR.50","QuantileSR.65","QuantileSR.75","QuantileSR.85","QuantileSR.95","Name","Exchange","Category.Name","Country"
"BDX",0.006,1,-0.019,-0.008,-0.003,0.003,0.006,0.013,0.019,0.027,0.044,"Becton, Dickinson and Company","NYQ","Medical Instruments & Supplies","USA"
"ATVI",0.004,1,-0.014,-0.007,-0.004,0.002,0.004,0.011,0.016,0.022,0.033,"Activision Blizzard, Inc.","NMS","Multimedia & Graphics Software","USA"
"MSI",0.005,1,-0.018,-0.006,0,0.005,0.008,0.014,0.021,0.025,0.038,"Motorola Solutions, Inc.","NYQ","Communication Equipment","USA"
"LRCX",0.006,1,-0.023,-0.011,-0.001,0.006,0.007,0.013,0.019,0.028,0.049,"Lam Research Corporation","NMS","Semiconductor Equipment & Materials","USA"
"MCHP",0.007,1,-0.018,-0.01,-0.004,0.004,0.007,0.018,0.026,0.033,0.054,"Microchip Technology Incorporated","NMS","Semiconductor - Broad Line","USA"
"ADSK",0.008,1,-0.018,-0.009,-0.005,0.004,0.008,0.017,0.022,0.031,0.044,"Autodesk, Inc.","NMS","Technical & System Software","USA"
"MGM",0.004,1,-0.021,-0.011,-0.007,-0.002,0,0.008,0.014,0.022,0.036,"MGM Resorts International","NYQ","Resorts & Casinos","USA"
"WAT",0.005,1,-0.019,-0.009,-0.004,0.003,0.004,0.01,0.016,0.025,0.045,"Waters Corporation","NYQ","Medical Instruments & Supplies","USA"
"BAX",0.005,1,-0.017,-0.004,0.002,0.007,0.008,0.015,0.019,0.027,0.039,"Baxter International Inc.","NYQ","Medical Instruments & Supplies","USA"
"EXPE",0.003,1,-0.021,-0.008,-0.002,0.002,0.004,0.011,0.016,0.021,0.03,"Expedia, Inc.","NMS","Lodging","USA"
"^GSPTSE",0.006,2,-0.018,-0.006,-0.002,0.003,0.007,0.014,0.024,0.035,0.057,"-","-","-","-"
"NA.TO",0.005,2,-0.021,-0.006,0.001,0.007,0.01,0.021,0.029,0.038,0.051,"National Bank of Canada","TOR","Money Center Banks","Canada"
"^GSPC",0.014,2,-0.011,-0.001,0.004,0.009,0.012,0.02,0.025,0.034,0.047,"-","-","-","-"
"^DJI",0.013,2,-0.011,-0.002,0.003,0.01,0.014,0.024,0.03,0.038,0.055,"-","-","-","-"
